FINAL BOTTLE BILL GUIDE ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region ,Latitude,Longitude,marker-size,marker-symbol,marker-color,Features,Deposit Amount,Containers Covered,PET Deposit Legislation,PET Consumed,PET Recollection Rate,PET Recycling Rate,State Agency,citation-1-title,citation-1-url,citation-2-title,citation-2-url,citation-3-title,citation-3-url,citation-4-title,citation-4-url,citation-5-title,citation-5-url,citation-6-title,citation-6-url,citation-7-title,citation-7-url
Austria,47.58844,14.140211,large,waste-basket,#E15B6C,"Voluntary deposit-refund on beverage packaging (European Parliament, 2011) ","US $0.4 (Hogg et al.,2010)","PET Bottles w/ non-refillable excluded (Hogg et al.,2010)","1992 (Hogg et al.,2010)",,"65% Collection Rate of all PET Bottles (Van Eygen, Laner, & Fellner 2018) 

30% PET (Hogg et al.,2010)
","21% PET reprocessed into new bottles (Van Eygen, Laner, & Fellner 2018)",,"Hogg et al., 2010",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,"(European Parliament, 2011) ",https://www.europarl.europa.eu/RegData/etudes/note/join/2011/457065/IPOL-AFET_NT(2011)457065_EN.pdf,"(Van Eygen, Laner, & Fellner, 2018)",https://www.sciencedirect.com/science/article/pii/S0956053X17308802,,,,,,,,
Belgium,50.648964,4.6415024,large,waste-basket,#E15B6C,"Containers taxed $0.52 per liter unless they have deposit (Hogg et al.,2010); An eco-tax of 0.1 €/l on one-way and reusable beverage packaging is charged. This was intended to be refundable on return, however, the return scheme was not installed. (European Parliament, 2011) ","$0.12 < 50 cl deposit; $0.24 > 50 cl deposit (Hogg et al.,2010)","Beer, soda, and soft drinks (Hogg et al.,2010)","1993 (Hogg et al.,2010)",,,,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,"(European Parliament, 2011) ",https://www.europarl.europa.eu/RegData/etudes/note/join/2011/457065/IPOL-AFET_NT(2011)457065_EN.pdf,,,,,,,,,,
Canada-Alberta,53.981934,-116.58691,large,waste-basket,#E15B6C,"All containers sold in Alberta (including imports) must be registered through the Beverage Container Management Board (BCMB). (Hogg et al., 2010) ","$0.05 <1 L, $0.20 >1 L; Beer $0.10 (Hogg et al., 2010) ","All beverage containers regulatory except milk which is under a voluntary scheme. (Hogg et al., 2010) ","1972 (Hogg et al., 2010)",,,,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
Canada-British Columbia,54.561863,-125.10406,large,waste-basket,#E15B6C,"All containers must be refillable, and none collected can be landfilled or incinerated. Beer separate system, though still under legislation (Hogg et al., 2010) ","Non-alcoholic: $0.05 <1 L, $0.10> 1 L; Alcoholic (not incl. beer):  $0.10 < 1 L ; $0.20 >1 L; Beer: $1.2 per dozen (Hogg et al., 2010) ","All beverage containers except milk, soya milk, infant formulas, dietary or meal supplements, or other milk substitutes. (Hogg et al., 2010) ","1970 (Hogg et al., 2010) ",,,,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
Canada-New Brunswick,46.502296,-66.19042,large,waste-basket,#E15B6C,"89 depots around the providence. Deposits paid on all containers (bar milk), but whilst full paid back on refillables, only half paid back on non-refillables. (Hogg et al., 2010)","$0.10 <0.5 L, $0.20 >0.5  (Hogg et al., 2010) ","All except milk (Hogg et al., 2010)","1992, revised 1999 (Hogg et al., 2010) ",,,,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
Canada-Newfoundland,48.724693,-56.064953,large,waste-basket,#E15B6C,"""Green depots"" run as businesses. Half-back system, with manufacturers prohibited from selling containers other than recyclable or refillable for selected products. Beer operated separately, run by brewers. Only have to refund when customer buying (1 for 1), otherwise negotiable. (Hogg et al., 2010) ","Non-alcoholic: US $0.08 ($0.04 back), Alcoholic (excluding beer): US $0.20 ($0.10 back) Beer: varies -full refund when same number of beer bought as empties returned. (Hogg et al., 2010) ","Beverage containers smaller than 5 L, excluding milk, dietary supplements and medicine. (Hogg et al., 2010) ","1997 (Hogg et al., 2010) ",,,,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
Canada-Northwest Territory,67.27512,-118.86356,large,waste-basket,#E15B6C,"18 government depots or 26 community depots. Deposit-return system, with additional handling charges for different products/ materials in container. (Hogg et al., 2010) ","Wine or spirit: US $0.25, Other: US $0.10. Plus additional $0.05-0.10 handling fee (Hogg et al., 2010) ","All beverage containers except milk (Hogg et al., 2010) ","2005 (Hogg et al., 2010) ",,,,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
Canada-Novia Scotia,45.598152,-62.367657,large,waste-basket,#E15B6C,"83 depots. Half-back deposit system. Full refund on refillables, half on non-refillables. (Hogg et al., 2010) ","Non-alcoholic: US $0.10 ; Alc. refillable: $0.10  <1 L , $0.20 >1 L; Alc. non-refillable: <0.5 L $0.10, >0.5 L $0.20 (Hogg et al., 2010) ","All beverage containers except milk (Hogg et al., 2010) ",,,,,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
Canada-Prince Edward Island,46.252666,-62.997833,large,waste-basket,#E15B6C,"Non-refillable drinks containers for beer or soft drinks banned since 1977. Wine may have half-back system in place. Retailer, supermarket, convenience stores, 15 depots (Hogg et al., 2010)","Non-al: <0.5 L $0.15, 0.5 -1 L $0.30, >1 L $0.70 ; Alcohol: $1.20 per dozen, or.07 each (Hogg et al., 2010) ","Soft drinks and alcoholic drinks. Wine may be included. (Hogg et al., 2010) ","1977 ban, 1984 deposit (Hogg et al., 2010) ",,"98% Soft Drink (Hogg et al., 2010)",,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
Canada-Quebec,53.212738,-72.452095,large,waste-basket,#E15B6C,"Return-to-retail deposit system, with industry required to fund kerbside collection for containers not part of the system. (Hogg et al., 2010) ","Soft drinks and beer cans: $0.05 ; Beer bottles: $0.10 ; Beer bottles and soft drinks:  >450ml $0.20 (Hogg et al., 2010)","All beer and soft drinks containers--not juice, water and iced tea (Hogg et al., 2010) ",,,,,,"(Hogg et al., 2010) ",http://www.bottlebill.org/assets/pdfs/campaigns/UK-CPRE-2010.pdf,,,,,,,,,,,,
