Country,longitude,Latitude,System,Deposit Amount,Containers Covered,Legislation,Bottles Consumed,Recollection Rate,Recycling Rate
Argentina,-64.85451,-37.071964,deposit (Source A),$0.40 deposit (Source A),PET Bottles (non-refillable excluded) (Source A),1992 (Source A),,30% PET; 60% Cans (Source A),34% PET Plastic Recycling in 2008 (Castro)
Austria,14.140211,47.58844,voluntary deposit-refund on beverage packaging (AFET),,,,,65% Collection Rate PET (Van Eygen),21% PET reprocessed into new bottles (Van Eygen)
Belgium,4.6415024,50.648964,"Containers taxed $0.52 per liter unless they have deposit (Source A); An eco-tax of 0.1 €/l on one-way and reusable beverage packaging is charged. This was intended to be refundable on return, however, the return scheme was not installed. (AFET)",$0.12 < 50 cl deposit; $0.24 > 50 cl deposit (A),"Beer, soda, and soft drinks (Source A)",1993 (Source A),,,
Brazil,-52.973118,-10.8104515,Informal sector (Wen),,,,505 of 1000 tons PET plastic (Wen),55.6% PET in 2011 (Welle),55.8% PET Recycling Rate in 2010 (Wen); 54.8% PET Recycling Rate in 2008 (Castro)
Canada-Alberta,-116.586914,53.981934,All containers sold in Alberta (including imports) must be registered through the Beverage Container Management Board (BCMB). (Source A),$0.05 <1 ; $0.20 >1 ; Beer $0.10 (Source A),All beverage containers regulatory except milk which is under a voluntary scheme. (Source A).,1972 (Source A),,Glass (AB Beer) 96% Glass (import beer) 92% Alu (beer) 89% Alu (soft) 79% Overall 78% (Source A),
Canada-British Columbia,-125.10406,54.561863,"All containers must be refillable, and none collected can be landfilled or incinerated. Beer separate system, though still under legislation (Source A)",Non-alcoholic $0.05 <1 l $0.10> 1 ; Alcoholic (not incl. beer) $0.10 < 1 ; $0.20 >1 ; Beer $1.2 per dozen (Source A),"All beverage containers except milk, soya milk, infant formulas, dietary or meal supplements, or other milk substitutes. (A)",1970 (Source A),,81.3% (Source A),
Canada-Manitoba,-98.0259,54.559452,"Beverage producers given option of setting up deposit-return system, or adding a 2 cent per container levy. Only beer producers choose the former. (Source A)",$0.10 (Source A),Beer containers only (Source A),1995 (Source A),,Refillable beer 95.5% ; Dom beer 74%; Glass 34% ; Overall residential 31% (Source A),
Canada-New Brunswick,-66.19042,46.502296,"Deposits paid on all containers (bar milk), but whilst full paid back on refillables, only half paid back on non-refillables. (Source A)",<0.5 $0.10 ; >0.5 $0.20 (Source A),All except milk (Source A),"1992, Revised 1999 (Source A)",,96% Refillable Beer; 75% Dom Beer ; 75% Non-alcoholic (Source A),
Canada-Newfoundland,-56.064953,48.724693,"Half-back system, with manufacturers prohibited from selling containers other than recyclable or refillable for selected products. Beer operated separately, run by brewers. Only have to refund when customer buying (1 for 1), otherwise negotiable. (A)",Non-alcoholic $0.08 ($0.04 back) Alcoholic (excluding beer) $0.20 ($0.10 back) Beer varies -full refund when same number of beer bought as empties returned. (A),"Beverage containers smaller than 5l, excluding milk, dietary supplements and medicine. (Source A)",1997 (Source A),,Refillable beer 95% Domestic beer 55% (Source A),
Canada-Northwest Territory,-118.863556,67.27512,"Deposit-return system, with additional handling charges for different products/ materials in container. (Source A)",Wine or spirit $0.25 Other $0.10 Plus additional $0.05-0.10 handling fee (Source A),All beverage containers except milk (Source A),2005 (Source A),,Approximately 72% (Source A),
Canada-Novia Scotia,-62.367657,45.598152,"Half-back deposit system. Full refund on refillables, half on non-refillables. (Source A)","Non-alcoholic $0.10 ; Alc. refillable <1 $0.10 , >1 $0.20 ; Alc. non-refillable <0.5 $0.10, >0.5 $0.20 (Source A)",All beverage containers except milk (Source A),,,"96% Refillable beer, 70% Dom. Beer (Source A)",
Canada-Ontario,-62.36765,45.598152,Deposit-return system on alcoholic drinks containers only. Use of ‘Industry Standard Bottle’. (Source A),"Containers up to 630 ml, or metal containers up to 1 $0.10 ; Over those sizes $0.20 (Source A)",Alcoholic drink containers (Source A),,,"97% Refillable ""industry standard bottles"" beer (Source A)",
Canada-Prince Edward Island,-62.997833,46.252666,Non-refillable drinks containers for beer or soft drinks banned since 1977. Wine may have half-back system in place. (Source A),"Non-al <0.5 $0.15; 0.5 -1 $0.30 ; >1 $0.70 ; Alc. $1.20 per dozen, or ).07 each (Source A)",Soft drinks and alcoholic drinks. Wine may be included. (Source A),"1977 ban, 1984 deposit (Source A)",,"96% Refillable beer, 59% Wine/Spirit, 98% Soft (Source A)",
Canada-Quebec,-72.452095,53.212738,"Return-to-retail deposit system, with industry required to fund kerbside collection for containers not part of the system. (Source A)",Soft drinks and beer cans $0.05 ; Beer bottles $0.10 ; Beer bottles and soft drinks >450ml $0.20 (Source A),"All beer and soft drinks containers (not juice, water and iced tea) (Source A)",,,"98% Refillable beers, 76% Dom. beer (Source A)",
Canada-Saskatchewan,-105.88885,54.418583,"Deposit-return system plus environmental handling charge (EHC) for non- refillable containers, for recycling, and beer bottle deposit system for refillables (Source A)",Deposits vary widely for diff. materials and sizes ; Non-ref. glass $0.40-1.00 ; Metal cans $0.10-0.20 (Source A),All beverage containers apart from milk (under voluntary system) (Source A),"1973- Litter Control Regulations (unclear, appears the deposit system introduced to this in 1998) (Source A)",,"Refillable
beer 92% Dom. beer cans 95% Alu. cans 95% Glass 83% Overall 86% (Source A)",
Canada-Yukon,-135.50845,63.62751,"No kerbside collection. Deposit-return system, with ‘recycling club’ for children offering ‘prizes’ as well as refund if certain numbers reached. Refillables not charged recycling fund fee, all others are. (Source A)","D=deposit, R=refund Liquor ref. D=$0.10 R=$0.10 ; Liquor non <0.5 D=$0.15 R=$0.10 ; >0.5 D=$0.35 R=$0.25 (Source A)",All beverage containers except milk (Source A),1998 (Source A),,"Refillable bottles 103% ' Non-refill. bottles 113% (?) ; Liquor containers <200ml 99%, 1L 90%, >1L 79% (includes refillables) (Source A)",
China,103.97543,36.553085,Informal system of collectors (Kuo) ; 2006 plan for the construction of Recyclables' Collection System etc (See google docs) (Kuo),,,,"100,000 tons of PET plastic in 2012 (Wen)",Nearly 100% PET plastic (Kou),
Croatia,15.734504,45.444305,"Deposit-return plus ""incentive fee"" to be paid by producerif 50% refill isn't met (5% paid still, if target is met) A",,"Glass, PET and metal containers for beer, soft drinks, water, wine, and spirits (A)",2005 (Source A),,,
Cyrpus,33.486717,35.11474,"Deposit-return system for reusable containers, with legal provisions--the only voluntary deposit on beer glass bottle may end in future (AFET)",,,,,,
Czech Republic,15.331501,49.739105,deposit-return system for reusable containers w/ legal provisions (AFET),,,,,,
Denmark,9.555907,56.10176,All beers and soft drinks must be sold in refillable bottles & deposit (Source A); deposit-refund,"€0.13 Type A – Cans, plastic and glass bottles <0.5; €0.20 Type B – Plastic bottles @0.5; €0.40 Type C – Cans, plastic and glass bottles >0.5 (Source A)",Imported glass/plastic containers (Source A),"Packaging Law, Regulatory Deposit, Ecotax of 1989 (and amended 1991) (Source A)",,99.5% (beer and soft drinks) (A),
Estonia,25.241625,58.693745,"Deposit-return at retailers (Source A); deposit-refund system on beverage packaging voluntary reusable containers, mandatory one-way containers, if the target is not met excise duty paid (AFET)",Glass 1.0 kroon (refill and NRB) Metal and PET < 0.5; 0.5 kroons; PET>0.5 1kroon (Source A),"Beer, low alcohol drinks, carbonated/non-carbonated soft drinks, water, juice, cider, and perry (A)",2004 (Source A),,,
